,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
1093,111001011,1,2,14.0,5.0,0.26490647141300877,0
1094,111001100,1,2,16.0,4.0,0.22499999999999998,0
1095,111001101,1,2,14.0,5.0,0.280056016805602,0
1096,111001110,1,2,16.0,4.0,0.22499999999999998,0
1097,111001111,1,2,14.0,5.0,0.280056016805602,0
1098,111010000,1,2,16.0,4.0,0.2882306768491569,1
1099,111010001,1,2,14.0,5.0,0.33436692754521175,0
1100,111010010,1,2,16.0,4.0,0.16984155512168939,0
1101,111010011,1,2,14.0,5.0,0.2867696673382022,0
1102,111010100,1,2,16.0,4.0,0.3674234614174767,1
1103,111010101,1,2,14.0,5.0,0.3499271061118826,0
1104,111010110,1,2,16.0,4.0,0.21650635094610968,0
1105,111010111,1,2,14.0,5.0,0.30316953129541624,0
1106,111011000,1,2,16.0,4.0,0.1846372364689991,0
1107,111011001,1,2,14.0,5.0,0.27668578554642986,0
1108,111011010,1,2,16.0,4.0,0.1846372364689991,0
1109,111011011,1,2,14.0,5.0,0.27668578554642986,0
1110,111011100,1,2,16.0,4.0,0.21650635094610968,0
1111,111011101,1,2,14.0,5.0,0.29250896965085227,0
1112,111011110,1,2,16.0,4.0,0.21650635094610968,0
1113,111011111,1,2,14.0,5.0,0.29250896965085227,0
1114,111100000,2,2,14.0,3.5,0.1843648042788172,1
1115,111100001,2,2,13.0,4.0,0.21155615287496937,0
1116,111100010,2,2,14.0,3.5,0.1377235547168526,0
1117,111100011,2,2,13.0,4.0,0.1863230537914146,0
1118,111100100,1,2,16.0,4.0,0.42426406871192845,1
1119,111100101,1,2,14.0,5.0,0.3628873693012116,0
1120,111100110,1,2,16.0,4.0,0.2886751345948129,1
1121,111100111,1,2,14.0,5.0,0.2886751345948129,0
1122,111101000,1,2,16.0,4.0,0.19188064472004937,0
1123,111101001,1,2,14.0,5.0,0.26490647141300877,0
1124,111101010,1,2,16.0,4.0,0.19188064472004937,0
1125,111101011,1,2,14.0,5.0,0.26490647141300877,0
1126,111101100,1,2,16.0,4.0,0.22499999999999998,0
1127,111101101,1,2,14.0,5.0,0.280056016805602,0
1128,111101110,1,2,16.0,4.0,0.22499999999999998,0
1129,111101111,1,2,14.0,5.0,0.280056016805602,0
1130,111110000,1,2,16.0,4.0,0.2882306768491569,1
1131,111110001,1,2,14.0,5.0,0.33436692754521175,0
1132,111110010,1,2,16.0,4.0,0.16984155512168939,0
1133,111110011,1,2,14.0,5.0,0.2867696673382022,0
1134,111110100,1,2,16.0,4.0,0.3674234614174767,1
1135,111110101,1,2,14.0,5.0,0.3499271061118826,0
1136,111110110,1,2,16.0,4.0,0.21650635094610968,0
1137,111110111,1,2,14.0,5.0,0.30316953129541624,0
1138,111111000,1,2,16.0,4.0,0.1846372364689991,0
1139,111111001,1,2,14.0,5.0,0.27668578554642986,0
1140,111111010,1,2,16.0,4.0,0.1846372364689991,0
1141,111111011,1,2,14.0,5.0,0.27668578554642986,0
1142,111111100,1,2,16.0,4.0,0.21650635094610968,0
1143,111111101,1,2,14.0,5.0,0.29250896965085227,0
1144,111111110,1,2,16.0,4.0,0.21650635094610968,0
1145,111111111,1,2,14.0,5.0,0.29250896965085227,0
1146,000001111,1,3,10.0,13.0,0.0,0
1147,000010111,1,3,10.0,13.0,0.0,0
1148,000011011,1,3,10.0,13.0,0.0,0
1149,000011101,1,3,10.0,13.0,0.0,0
1150,000011110,1,3,11.0,13.0,0.0,0
1151,000011111,1,3,10.0,13.0,0.0,0
1152,000100111,1,3,10.0,13.0,0.0,0
1153,000101011,1,3,10.0,13.0,0.0,0
1154,000101101,1,3,10.0,13.0,0.0,0
1155,000101110,1,3,11.0,13.0,0.0,0
1156,000101111,1,3,10.0,13.0,0.0,0
1157,000110011,1,3,10.0,13.0,0.0,0
1158,000110101,1,3,13.0,5.0,0.4065785563073631,0
1159,000110110,1,3,11.0,13.0,0.0,0
1160,000110111,1,3,10.0,13.0,0.0,0
1161,000111001,1,3,10.0,13.0,0.0,0
1162,000111010,1,3,11.0,13.0,0.0,0
1163,000111011,1,3,10.0,13.0,0.0,0
1164,000111100,1,3,11.0,13.0,0.0,0
1165,000111101,1,3,10.0,13.0,0.0,0
1166,000111110,1,3,11.0,13.0,0.0,0
1167,000111111,1,3,10.0,13.0,0.0,0
1168,001000111,1,3,10.0,13.0,0.0,0
1169,001001011,1,3,10.0,13.0,0.0,0
1170,001001101,1,3,10.0,13.0,0.0,0
1171,001001110,1,3,11.0,13.0,0.0,0
1172,001001111,1,3,10.0,13.0,0.0,0
1173,001010011,1,3,10.0,13.0,0.0,0
1174,001010101,1,3,13.0,5.0,0.4065785563073631,0
1175,001010110,1,3,11.0,13.0,0.0,0
1176,001010111,1,3,10.0,13.0,0.0,0
1177,001011001,1,3,10.0,13.0,0.0,0
